dataset,profile,method,method_label,mean,std,min,max,count
hateful_memes,typiclust_dense,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,8.666666666666666,5.131601439446884,3,13,3
hateful_memes,typiclust_dense,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,34.666666666666664,0.5773502691896247,34,35,3
hateful_memes,typiclust_dense,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,47.666666666666664,2.309401076758502,45,49,3
hateful_memes,typiclust_dense,ours_sample_package_task_operator,Ours-online-pkg-task,33.333333333333336,4.509249752822894,29,38,3
hateful_memes,typiclust_dense,ours_task_operator,Ours-online-task,24.333333333333332,5.859465277082316,20,31,3
hateful_memes,uncertainty_badge,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hateful_memes,uncertainty_badge,ours_influence_only,Teacher-no-loss,28.666666666666668,1.154700538379251,28,30,3
hateful_memes,uncertainty_badge,ours_kernel_ridge_student,Ours-online-KRR,30.333333333333332,6.110100926607786,25,37,3
hateful_memes,uncertainty_badge,ours_krr_influence_only,Ours-online-KRR-no-loss,16.0,2.6457513110645907,13,18,3
hateful_memes,uncertainty_badge,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,19.0,1.0,18,20,3
hateful_memes,uncertainty_badge,ours_loss_reduction_only,Teacher-no-influence,49.666666666666664,0.5773502691896263,49,50,3
hateful_memes,uncertainty_badge,ours_sample_package_direct,Teacher-pkg-direct,49.666666666666664,0.5773502691896263,49,50,3
hateful_memes,uncertainty_badge,ours_sample_package_influence_only,Teacher-pkg-no-loss,37.666666666666664,4.509249752822895,33,42,3
hateful_memes,uncertainty_badge,ours_sample_package_krr,Ours-online-pkg-KRR,37.666666666666664,2.0816659994661326,36,40,3
hateful_memes,uncertainty_badge,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,26.0,3.0,23,29,3
hateful_memes,uncertainty_badge,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,34.333333333333336,1.5275252316519456,33,36,3
hateful_memes,uncertainty_badge,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,50.0,0.0,50,50,3
hateful_memes,uncertainty_badge,ours_sample_package_task_operator,Ours-online-pkg-task,27.333333333333332,6.506407098647712,21,34,3
hateful_memes,uncertainty_badge,ours_task_operator,Ours-online-task,10.333333333333334,2.8867513459481287,7,12,3
hatespeech,all_average,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hatespeech,all_average,ours_influence_only,Teacher-no-loss,20.0,8.888194417315589,13,30,3
hatespeech,all_average,ours_kernel_ridge_student,Ours-online-KRR,33.333333333333336,11.239810200058244,21,43,3
hatespeech,all_average,ours_krr_influence_only,Ours-online-KRR-no-loss,14.333333333333334,3.055050463303893,11,17,3
hatespeech,all_average,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,32.666666666666664,9.018499505645789,24,42,3
hatespeech,all_average,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
hatespeech,all_average,ours_sample_package_direct,Teacher-pkg-direct,50.0,0.0,50,50,3
hatespeech,all_average,ours_sample_package_influence_only,Teacher-pkg-no-loss,21.666666666666668,7.767453465154029,13,28,3
hatespeech,all_average,ours_sample_package_krr,Ours-online-pkg-KRR,32.0,3.4641016151377544,28,34,3
hatespeech,all_average,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,14.0,3.605551275463989,11,18,3
hatespeech,all_average,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,28.333333333333332,5.131601439446884,24,34,3
hatespeech,all_average,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,44.666666666666664,7.571877794400366,36,50,3
hatespeech,all_average,ours_sample_package_task_operator,Ours-online-pkg-task,40.0,5.196152422706632,37,46,3
hatespeech,all_average,ours_task_operator,Ours-online-task,22.666666666666668,4.509249752822893,18,27,3
hatespeech,coreset_far_wrong,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hatespeech,coreset_far_wrong,ours_influence_only,Teacher-no-loss,50.0,0.0,50,50,3
hatespeech,coreset_far_wrong,ours_kernel_ridge_student,Ours-online-KRR,49.666666666666664,0.5773502691896263,49,50,3
hatespeech,coreset_far_wrong,ours_krr_influence_only,Ours-online-KRR-no-loss,47.333333333333336,2.3094010767585034,46,50,3
hatespeech,coreset_far_wrong,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,49.333333333333336,0.5773502691896247,49,50,3
hatespeech,coreset_far_wrong,ours_loss_reduction_only,Teacher-no-influence,48.666666666666664,1.5275252316519474,47,50,3
hatespeech,coreset_far_wrong,ours_sample_package_direct,Teacher-pkg-direct,49.666666666666664,0.5773502691896263,49,50,3
hatespeech,coreset_far_wrong,ours_sample_package_influence_only,Teacher-pkg-no-loss,50.0,0.0,50,50,3
hatespeech,coreset_far_wrong,ours_sample_package_krr,Ours-online-pkg-KRR,49.333333333333336,0.5773502691896247,49,50,3
hatespeech,coreset_far_wrong,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,49.0,1.7320508075688772,47,50,3
hatespeech,coreset_far_wrong,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,48.0,0.0,48,48,3
hatespeech,coreset_far_wrong,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,49.333333333333336,1.154700538379251,48,50,3
hatespeech,coreset_far_wrong,ours_sample_package_task_operator,Ours-online-pkg-task,41.333333333333336,4.932882862316246,38,47,3
hatespeech,coreset_far_wrong,ours_task_operator,Ours-online-task,38.666666666666664,6.658328118479393,31,43,3
