run_seed,dataset,profile,market_size,good_count,good_ratio,decoy_type_good_ratio,static_target_top_good_count,static_target_top_good_ratio,static_target_top_downstream_gain_mean,downstream_gain_mean_good,downstream_gain_mean_bad,anchor_test_auroc,anchor_test_macro_f1,anchor_test_acc
43,mscoco,typiclust_dense,5000,500,0.1,0.992,1,0.02,-0.5179106593132019,4.451669216156006,-0.3094576299190521,0.88774971875,0.3333333333333333,0.5
43,mscoco,kmeans_center,5000,500,0.1,0.99,0,0.0,-1.1332165002822876,4.448598861694336,-0.2872015237808227,0.88774971875,0.3333333333333333,0.5
43,mscoco,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-0.7458735704421997,4.558297634124756,-0.0508032031357288,0.88774971875,0.3333333333333333,0.5
43,mscoco,cosine,5000,500,0.1,1.0,0,0.0,-0.6839900016784668,4.531881809234619,-0.6269510388374329,0.88774971875,0.3333333333333333,0.5
43,mscoco,all_average,5000,500,0.1,1.0,0,0.0,-0.9679070115089417,4.385838031768799,-1.4439268112182615,0.88774971875,0.3333333333333333,0.5
44,hateful_memes,noise,5000,500,0.1,1.0,0,0.0,-0.254233717918396,3.042984962463379,-0.7076489925384521,0.4995413306451612,0.3697478991596639,0.5866666666666667
44,hateful_memes,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-1.0915158987045288,3.042984962463379,-0.5239107012748718,0.4995413306451612,0.3697478991596639,0.5866666666666667
44,hateful_memes,typiclust_dense,5000,500,0.1,0.982,0,0.0,-0.702067494392395,3.048330068588257,-0.4040898382663727,0.4995413306451612,0.3697478991596639,0.5866666666666667
44,hateful_memes,kmeans_center,5000,500,0.1,0.984,1,0.02,-0.874503493309021,3.043095588684082,-0.3946430683135986,0.4995413306451612,0.3697478991596639,0.5866666666666667
44,hateful_memes,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-0.8426257371902466,3.042985200881958,-0.3240346312522888,0.4995413306451612,0.3697478991596639,0.5866666666666667
