dataset,profile,method,seed,selected_rows,good_count,good_ratio,downstream_gain_mean,harm_score_mean,loss_reduction_mean,influence_gain_mean,collapse_to_single_digits,scoring_semantics,online_scoring_uses_downstream_model,sample_packaging_enabled,package_size,scored_objects,student_calibration_size,student_landmark_count,student_sigma2,student_supervision,eval_time,test_auroc,test_macro_f1,test_acc,type_coreset_far_wrong_decoy,type_kmeans_center_decoy,type_noise_decoy,type_uncertainty_badge_decoy,ckks_simd_enabled,ckks_scheme,primary_metric,primary_metric_value,type_typiclust_dense_decoy,ckks_reference_rows,ckks_reference_dim,ckks_reference_package_size,ckks_rows_per_second_mean,ckks_est_encrypted_compute_ms,ckks_scaled_from_reference_ms,ckks_ref_encrypted_compute_ms_mean,ckks_ref_rows_per_second_mean,ckks_ref_scored_objects_per_second_mean,ckks_ref_output_ciphertext_bytes_mean,ckks_ref_ct_pt_mults_mean,ckks_ref_rotations_mean,ckks_ref_additions_mean,ckks_ref_rescales_mean,ckks_ref_scored_objects,ckks_ref_raw_rows_per_scored_object,type_cosine_decoy,type_useful_clean,run_seed,run_dir,purchase_ratio,purchase_total,ratio_market_size
hatespeech,noise,market_typiclust_select,142,25,25,1.0,3.0706627368927,-3.0706627368927,0.0002237296139355,0.0827523916959762,0,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.163718499999959,0.5103059000000001,0.3333333333333333,0.5,,11.0,,,0,,good_count,25.0,14.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,noise,ours_kernel_ridge_student,142,25,25,1.0,3.5014121532440186,-3.5014121532440186,0.0002730798732955,0.0802582949399948,0,online_student,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.226357999999891,0.5655196,0.3333333333333333,0.5,,12.0,,1.0,1,ours_student_row_ctpt,good_count,25.0,12.0,10000.0,64.0,4.0,92931.597765,53.80301340178943,53.80903000000001,107.61806,92931.597765,92931.597765,705941.0,192.0,0.0,192.0,192.0,10000.0,1.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,noise,ours_sample_package_krr,142,25,25,1.0,3.5014121532440186,-3.5014121532440186,0.0002730798732955,0.0802582949399948,0,online_student,0,1,4,1250,28000,1000,1.0360314846038818,top_quantile,0.1828998999999385,0.5466837600000001,0.3333333333333333,0.5,,12.0,,1.0,1,ours_student_pkg_ctpt,good_count,25.0,12.0,10000.0,64.0,4.0,1786105.677236,2.799386432575201,2.80927,5.61854,1786105.677236,446526.419309,235320.0,10.0,0.0,10.0,10.0,2500.0,4.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,coreset_far_wrong,market_random_select,142,25,2,0.08,-0.1418341398239135,0.1418341398239135,-2.250432953587733e-05,0.0334231965243816,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2289176999997835,0.5596669400000001,0.3333333333333333,0.5,16.0,1.0,1.0,7.0,0,,good_count,2.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,coreset_far_wrong,market_cosine_select,142,25,0,0.0,-0.2833605408668518,0.2833605408668518,-7.476806786144152e-06,0.0168208871036767,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.1736311999998179,0.53605668,0.3333333333333333,0.5,,,,25.0,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,coreset_far_wrong,market_coreset_select,142,25,0,0.0,-1.9570776224136357,1.9570776224136357,-0.0001998972875298,0.0268828961998224,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2589810000004036,0.5575208199999999,0.3333333333333333,0.5,,,25.0,,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,coreset_far_wrong,market_badge_select,142,25,0,0.0,-1.975746154785156,1.975746154785156,-0.0001931619626702,0.0220424123108387,1,baseline_model_based,1,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.231651900000088,0.5741551,0.3333333333333333,0.5,,,25.0,,0,,good_count,0.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,coreset_far_wrong,market_kmeans_center_select,142,25,25,1.0,3.090500593185425,-3.090500593185425,0.0002249479293823,0.0832255184650421,0,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2317219999999906,0.56993762,0.3333333333333333,0.5,,9.0,,,0,,good_count,25.0,16.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,coreset_far_wrong,market_typiclust_select,142,25,25,1.0,3.0706627368927,-3.0706627368927,0.0002237296139355,0.0827523916959762,0,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.1629600999999638,0.5103059000000001,0.3333333333333333,0.5,,11.0,,,0,,good_count,25.0,14.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,coreset_far_wrong,ours_kernel_ridge_student,142,25,25,1.0,3.5014121532440186,-3.5014121532440186,0.0002730798732955,0.0802582949399948,0,online_student,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2880040000000008,0.5655196,0.3333333333333333,0.5,,12.0,,1.0,1,ours_student_row_ctpt,good_count,25.0,12.0,10000.0,64.0,4.0,92931.597765,53.80301340178943,53.80903000000001,107.61806,92931.597765,92931.597765,705941.0,192.0,0.0,192.0,192.0,10000.0,1.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
